https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume BA,Volume USDT,tradecount
1768401000000,2026-01-14,BA,244.44,244.89,239.60,242.61,7748600,1879887850.73,0
1768314600000,2026-01-13,BA,241.12,247.40,240.10,244.55,11460500,2802665309.97,0
1768228200000,2026-01-12,BA,234.29,239.95,234.00,239.81,7894000,1893060120.73,0
1767969000000,2026-01-09,BA,228.34,235.14,228.30,234.53,8621600,2022023837.48,0
1767882600000,2026-01-08,BA,231.79,233.11,225.10,227.38,7126800,1620491818.80,0
1767796200000,2026-01-07,BA,232.15,233.57,227.31,228.12,9693100,2211189924.67,0
1767709800000,2026-01-06,BA,229.23,231.64,228.60,229.84,6714300,1543214687.41,0
1767623400000,2026-01-05,BA,228.79,230.96,227.50,228.13,8278800,1888642684.42,0
1767364200000,2026-01-02,BA,218.15,227.77,215.24,227.77,11261000,2564918018.11,0
1767191400000,2025-12-31,BA,218.93,219.32,216.14,217.12,5563000,1207838532.84,0
1767105000000,2025-12-30,BA,219.14,221.88,218.40,218.50,5653500,1235289750.00,0
1767018600000,2025-12-29,BA,215.90,218.14,215.11,217.25,5292000,1149687000.00,0
1766759400000,2025-12-26,BA,218.05,218.67,216.14,216.44,2801500,606356666.84,0
1766586600000,2025-12-24,BA,217.00,219.27,216.19,218.16,2943500,642153970.78,0
1766500200000,2025-12-23,BA,216.90,217.56,215.32,216.85,4496300,975022682.44,0
1766413800000,2025-12-22,BA,215.34,217.15,214.22,216.84,5458900,1183707856.01,0
1766154600000,2025-12-19,BA,209.76,215.98,209.27,214.08,14793700,3167035323.09,0
1766068200000,2025-12-18,BA,207.99,210.55,207.66,208.27,5652100,1177162891.15,0
1765981800000,2025-12-17,BA,206.78,210.66,205.82,206.33,7301100,1506435976.37,0
1765895400000,2025-12-16,BA,205.00,208.65,204.39,206.71,6120200,1265106583.09,0
1765809000000,2025-12-15,BA,204.38,206.63,203.17,205.50,6721600,1381288800.00,0
1765549800000,2025-12-12,BA,202.20,206.12,201.58,204.38,7069700,1444905320.52,0
1765463400000,2025-12-11,BA,198.73,201.86,198.05,200.71,7917800,1589181691.16,0
1765377000000,2025-12-10,BA,200.37,201.35,198.35,198.72,15159600,3012515730.51,0
1765290600000,2025-12-09,BA,205.35,207.10,200.02,200.37,9101900,1823747658.56,0
1765204200000,2025-12-08,BA,203.61,206.86,202.56,206.27,8823900,1820105890.70,0
1764945000000,2025-12-05,BA,201.40,202.95,200.56,201.89,6857200,1384400103.81,0
1764858600000,2025-12-04,BA,202.85,202.89,198.53,201.87,9513300,1920449824.55,0
1764772200000,2025-12-03,BA,204.60,205.85,197.40,202.54,14139900,2863895251.07,0
1764685800000,2025-12-02,BA,198.30,205.78,195.51,205.38,22624000,4646517230.47,0
1764599400000,2025-12-01,BA,188.96,189.95,186.41,186.46,6763700,1261159547.41,0
1764340200000,2025-11-28,BA,187.87,189.75,186.91,189.00,3757000,710073000.00,0
1764167400000,2025-11-26,BA,184.00,188.18,183.03,186.92,7644500,1428909926.00,0
1764081000000,2025-11-25,BA,179.49,183.48,177.52,182.44,9676200,1765325951.62,0
1763994600000,2025-11-24,BA,180.31,180.31,177.30,179.12,9386000,1681220274.17,0
1763735400000,2025-11-21,BA,180.56,181.43,176.77,179.70,10134000,1821079769.07,0
1763649000000,2025-11-20,BA,187.74,188.10,178.42,179.38,13706400,2458654098.93,0
1763562600000,2025-11-19,BA,189.21,189.21,183.01,185.70,12550400,2330609241.70,0
1763476200000,2025-11-18,BA,190.00,191.16,187.85,189.63,8195800,1554169594.02,0
1763389800000,2025-11-17,BA,194.84,194.84,190.23,191.81,5877800,1127420803.65,0
1763130600000,2025-11-14,BA,192.88,197.03,192.15,194.52,6189800,1204039922.45,0
1763044200000,2025-11-13,BA,195.63,196.20,193.11,194.58,6739300,1311333006.34,0
1762957800000,2025-11-12,BA,195.75,196.66,193.80,195.50,8288300,1620362650.00,0
1762871400000,2025-11-11,BA,194.74,196.40,194.35,195.21,5783400,1128977552.83,0
1762785000000,2025-11-10,BA,195.89,196.44,193.19,194.81,7447400,1450827975.82,0
1762525800000,2025-11-07,BA,195.50,195.85,191.49,194.61,7869500,1531483399.80,0
1762439400000,2025-11-06,BA,198.10,201.27,195.45,196.50,7740500,1521008250.00,0
1762353000000,2025-11-05,BA,197.75,198.51,195.31,197.62,9885700,1953611985.73,0
1762266600000,2025-11-04,BA,201.80,202.22,197.57,198.05,8619600,1707111806.30,0
1762180200000,2025-11-03,BA,202.04,205.66,201.58,204.55,8103900,1657652769.73,0
1761917400000,2025-10-31,BA,201.25,202.60,198.30,201.02,10696600,2150230577.70,0
1761831000000,2025-10-30,BA,210.01,210.28,200.02,200.08,19417000,3884953395.55,0
1761744600000,2025-10-29,BA,221.36,221.90,212.50,213.58,20940100,4472386596.34,0
1761658200000,2025-10-28,BA,224.36,225.56,222.60,223.33,7027200,1569384588.87,0
1761571800000,2025-10-27,BA,222.78,223.58,221.82,223.00,6084300,1356798900.00,0
1761312600000,2025-10-24,BA,219.04,221.74,218.51,221.35,5238100,1159453466.97,0
1761226200000,2025-10-23,BA,216.40,219.30,216.25,217.77,5356200,1166419696.88,0
1761139800000,2025-10-22,BA,216.68,217.40,213.80,216.59,6310300,1366747853.89,0
1761053400000,2025-10-21,BA,217.21,217.70,215.55,217.26,4209500,914555946.88,0
1760967000000,2025-10-20,BA,215.13,217.38,214.56,216.82,5865100,1271671024.96,0
1760707800000,2025-10-17,BA,210.91,214.68,210.75,212.94,6482700,1380426153.83,0
1760621400000,2025-10-16,BA,214.66,214.96,210.66,211.89,5555200,1177091324.61,0
1760535000000,2025-10-15,BA,215.04,215.93,212.48,214.00,5055600,1081898400.00,0
1760448600000,2025-10-14,BA,213.54,217.95,212.24,214.30,5975700,1280592528.24,0
1760362200000,2025-10-13,BA,212.09,215.80,212.06,215.56,5657300,1219487574.19,0
1760103000000,2025-10-10,BA,217.00,217.90,210.73,210.73,10647900,2243831921.51,0
