https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume JPM,Volume USDT,tradecount
1683552600000,2023-05-08,JPM,137.49,137.97,136.48,137.07,7484900,1025955297.82,0
1683293400000,2023-05-05,JPM,136.44,137.88,135.91,136.74,11261400,1539883897.86,0
1683207000000,2023-05-04,JPM,134.96,135.72,131.81,134.12,17089200,2292003420.56,0
1683120600000,2023-05-03,JPM,138.44,138.67,135.76,135.98,12930900,1758343726.75,0
1683034200000,2023-05-02,JPM,141.40,142.41,138.43,138.92,14113400,1960633502.16,0
1682947800000,2023-05-01,JPM,142.26,143.37,140.83,141.20,20415800,2882710897.70,0
1682688600000,2023-04-28,JPM,136.56,138.32,135.67,138.24,9887300,1366820406.31,0
1682602200000,2023-04-27,JPM,136.00,137.91,135.66,137.05,9041100,1239082782.59,0
1682515800000,2023-04-26,JPM,137.62,137.81,134.00,135.23,14416100,1949489141.41,0
1682429400000,2023-04-25,JPM,139.60,139.96,137.63,137.67,10629300,1463335711.54,0
1682343000000,2023-04-24,JPM,140.46,141.10,140.04,140.73,7567500,1064974242.67,0
1682083800000,2023-04-21,JPM,139.74,141.11,138.78,140.54,11842500,1664344870.49,0
1681997400000,2023-04-20,JPM,139.91,141.43,139.84,140.81,10586200,1490642796.15,0
1681911000000,2023-04-19,JPM,141.23,141.50,140.40,141.22,9158100,1293306893.18,0
1681824600000,2023-04-18,JPM,140.27,141.78,139.03,141.40,13760100,1945678056.02,0
1681738200000,2023-04-17,JPM,139.95,140.06,137.66,139.83,16050500,2244341444.39,0
1681479000000,2023-04-14,JPM,135.15,139.12,134.90,138.73,43931300,6094589061.31,0
1681392600000,2023-04-13,JPM,128.46,129.04,126.83,128.99,12450200,1605951366.39,0
1681306200000,2023-04-12,JPM,129.18,130.43,128.06,128.50,11821000,1518998500.00,0
1681219800000,2023-04-11,JPM,128.30,128.94,127.54,128.52,10516300,1351554920.93,0
1681133400000,2023-04-10,JPM,126.54,128.23,126.22,127.89,9477300,1212051891.22,0
1680787800000,2023-04-06,JPM,127.00,128.08,126.86,127.47,8760200,1116662704.69,0
1680701400000,2023-04-05,JPM,126.80,128.15,126.46,127.61,9614700,1226931872.87,0
1680615000000,2023-04-04,JPM,130.50,130.59,127.41,128.42,11579900,1487090736.80,0
1680528600000,2023-04-03,JPM,129.91,131.44,129.41,130.16,11775400,1532686107.12,0
1680269400000,2023-03-31,JPM,129.66,130.34,128.85,130.31,13105200,1707738580.00,0
1680183000000,2023-03-30,JPM,129.95,130.12,127.65,128.75,12134700,1562342625.00,0
1680096600000,2023-03-29,JPM,130.10,130.22,127.77,129.14,14595300,1884837033.09,0
1680010200000,2023-03-28,JPM,128.71,129.34,127.74,128.88,10820500,1394546092.83,0
1679923800000,2023-03-27,JPM,126.79,129.38,126.29,128.49,18853900,2422537714.57,0
1679664600000,2023-03-24,JPM,125.63,125.68,123.11,124.91,22311100,2786879582.71,0
1679578200000,2023-03-23,JPM,127.90,129.53,126.02,126.84,16677600,2115386722.92,0
1679491800000,2023-03-22,JPM,130.56,130.66,127.08,127.18,17250200,2193880441.26,0
1679405400000,2023-03-21,JPM,130.59,131.73,130.19,130.55,17807800,2324808344.35,0
1679319000000,2023-03-20,JPM,126.99,129.47,126.01,127.14,22875500,2908391056.04,0
1679059800000,2023-03-17,JPM,128.38,128.48,125.45,125.81,38396000,4830600666.26,0
1678973400000,2023-03-16,JPM,128.01,131.95,126.02,130.75,24558500,3211023875.00,0
1678887000000,2023-03-15,JPM,130.98,130.99,126.73,128.26,34280600,4396829567.69,0
1678800600000,2023-03-14,JPM,135.28,135.53,131.29,134.62,29648100,3991227077.23,0
1678714200000,2023-03-13,JPM,131.21,133.88,129.41,131.25,42901100,5630769375.00,0
1678458600000,2023-03-10,JPM,128.96,135.26,127.82,133.65,37599700,5025199675.51,0
