https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume ORCL,Volume USDT,tradecount
1700231400000,2023-11-17,ORCL,114.61,115.64,114.16,115.36,4791300,552724370.92,0
1700145000000,2023-11-16,ORCL,113.76,115.87,113.47,114.67,7476100,857284373.31,0
1700058600000,2023-11-15,ORCL,116.15,116.31,113.93,114.06,7386200,842469953.97,0
1699972200000,2023-11-14,ORCL,114.86,116.46,114.45,116.10,6733700,781782559.73,0
1699885800000,2023-11-13,ORCL,113.07,114.49,112.78,114.15,5740500,655278083.76,0
1699626600000,2023-11-10,ORCL,112.09,113.18,111.14,113.07,5233900,591797071.40,0
1699540200000,2023-11-09,ORCL,112.40,113.31,111.61,112.18,6853900,768870504.09,0
1699453800000,2023-11-08,ORCL,109.23,112.56,109.19,112.33,10994900,1235057137.13,0
1699367400000,2023-11-07,ORCL,109.99,110.38,108.58,108.99,7412600,807899258.16,0
1699281000000,2023-11-06,ORCL,108.06,109.21,107.44,109.11,6062800,661512111.70,0
1699018200000,2023-11-03,ORCL,107.17,109.07,106.62,108.05,7280000,786604022.22,0
1698931800000,2023-11-02,ORCL,106.45,107.22,105.57,106.87,5918300,632488737.26,0
1698845400000,2023-11-01,ORCL,103.80,106.20,103.80,105.75,8602400,909703800.00,0
1698759000000,2023-10-31,ORCL,102.01,103.52,101.10,103.40,6258400,647118569.55,0
1698672600000,2023-10-30,ORCL,101.14,102.41,100.82,101.65,5433700,552335613.29,0
1698413400000,2023-10-27,ORCL,101.00,102.09,100.59,100.99,5207900,525945809.87,0
1698327000000,2023-10-26,ORCL,101.69,102.39,99.87,100.40,7565600,759586251.54,0
1698240600000,2023-10-25,ORCL,102.70,103.67,101.01,101.43,7081700,718296833.16,0
1698154200000,2023-10-24,ORCL,103.95,104.46,102.50,103.20,6174000,637156781.16,0
1698067800000,2023-10-23,ORCL,102.04,104.69,102.01,103.66,10722600,1111504755.27,0
1697808600000,2023-10-20,ORCL,106.99,107.04,100.66,101.85,21831400,2223528056.69,0
1697722200000,2023-10-19,ORCL,108.63,110.22,108.19,108.34,7989200,865549898.74,0
1697635800000,2023-10-18,ORCL,108.40,109.73,107.86,108.25,5123900,554662175.00,0
1697549400000,2023-10-17,ORCL,107.58,109.79,106.90,109.04,5261800,573746676.82,0
1697463000000,2023-10-16,ORCL,108.95,109.59,108.31,108.71,5488000,596600474.98,0
1697203800000,2023-10-13,ORCL,109.19,109.51,107.79,108.25,5879400,636445050.00,0
1697117400000,2023-10-12,ORCL,109.95,110.92,108.88,109.11,6598500,719962339.03,0
1697031000000,2023-10-11,ORCL,109.51,110.06,108.83,109.64,5641700,618555984.56,0
1696944600000,2023-10-10,ORCL,110.21,111.06,109.62,109.71,6910400,758139977.67,0
1696858200000,2023-10-09,ORCL,110.75,110.97,109.47,110.32,6012400,663287966.17,0
1696599000000,2023-10-06,ORCL,107.93,110.53,107.58,109.96,8247000,906840112.45,0
1696512600000,2023-10-05,ORCL,106.97,108.44,106.19,108.35,7651500,829040013.32,0
