https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume UBER,Volume USDT,tradecount
1687527000000,2023-06-23,UBER,42.59,43.76,42.33,43.34,23186600,1004907247.54,0
1687440600000,2023-06-22,UBER,42.30,43.87,42.21,42.81,19542100,836597327.84,0
1687354200000,2023-06-21,UBER,42.50,43.22,41.77,42.66,21916500,934957886.66,0
1687267800000,2023-06-20,UBER,42.77,43.47,42.02,42.17,19931300,840502884.50,0
1686922200000,2023-06-16,UBER,43.07,43.67,42.53,43.52,27986400,1217968140.81,0
1686835800000,2023-06-15,UBER,41.02,43.75,40.94,43.36,41477800,1798477433.32,0
1686749400000,2023-06-14,UBER,41.30,41.59,40.57,41.27,15077600,622252558.90,0
1686663000000,2023-06-13,UBER,41.75,41.83,40.89,41.41,16659600,689874033.46,0
1686576600000,2023-06-12,UBER,41.26,41.74,41.06,41.74,15987700,667326624.83,0
1686317400000,2023-06-09,UBER,40.05,41.00,40.02,40.99,21980700,900988929.89,0
1686231000000,2023-06-08,UBER,39.18,40.63,39.04,40.26,20301800,817350433.92,0
1686144600000,2023-06-07,UBER,40.24,40.25,38.61,38.99,23653900,922265600.70,0
1686058200000,2023-06-06,UBER,40.25,40.73,39.93,40.25,14570100,586446525.00,0
1685971800000,2023-06-05,UBER,39.50,40.79,39.50,40.42,24218600,978915767.65,0
1685712600000,2023-06-02,UBER,39.00,39.89,39.00,39.73,21219000,843030860.29,0
1685626200000,2023-06-01,UBER,37.50,38.50,37.26,38.48,17115300,658596736.17,0
1685539800000,2023-05-31,UBER,37.25,38.05,37.07,37.93,34506300,1308823969.53,0
1685453400000,2023-05-30,UBER,38.73,39.06,37.56,37.56,18143200,681458616.92,0
1685107800000,2023-05-26,UBER,38.24,38.76,38.22,38.45,14427900,554752766.01,0
1685021400000,2023-05-25,UBER,38.48,38.58,37.53,37.95,18634200,707167904.22,0
1684935000000,2023-05-24,UBER,38.05,38.66,37.77,37.96,22074700,837955591.79,0
1684848600000,2023-05-23,UBER,38.99,39.65,38.51,38.66,18679400,722145601.15,0
1684762200000,2023-05-22,UBER,39.13,40.50,39.08,39.17,27581600,1080371221.50,0
1684503000000,2023-05-19,UBER,39.25,39.49,38.92,39.18,19785500,775195896.04,0
1684416600000,2023-05-18,UBER,37.98,39.49,37.76,39.25,27828100,1092252925.00,0
1684330200000,2023-05-17,UBER,37.73,37.96,37.36,37.84,19534400,739181698.98,0
1684243800000,2023-05-16,UBER,37.93,38.15,37.44,37.44,21829100,817281474.02,0
1684157400000,2023-05-15,UBER,38.34,38.48,37.99,38.14,17826600,679906513.12,0
1683898200000,2023-05-12,UBER,38.64,39.23,38.20,38.45,21626000,831519716.50,0
1683811800000,2023-05-11,UBER,38.64,39.18,38.34,38.42,16515600,634529321.76,0
1683725400000,2023-05-10,UBER,38.60,38.95,38.17,38.79,19531500,757626902.88,0
1683639000000,2023-05-09,UBER,38.49,38.58,37.90,38.19,19387000,740389503.38,0
1683552600000,2023-05-08,UBER,37.82,38.93,37.48,38.83,30992100,1203423299.75,0
1683293400000,2023-05-05,UBER,37.48,37.95,36.87,37.75,24682900,931779475.00,0
1683207000000,2023-05-04,UBER,37.48,37.80,36.69,37.49,44819400,1680279381.23,0
1683120600000,2023-05-03,UBER,36.75,38.35,36.35,37.84,68580800,2595097482.46,0
1683034200000,2023-05-02,UBER,35.02,36.62,34.23,36.52,102993500,3761322667.15,0
