https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume AMZN,Volume USDT,tradecount
1694698200000,2023-09-14,AMZN,145.08,145.86,142.95,144.72,64033600,9266942670.17,0
1694611800000,2023-09-13,AMZN,140.95,144.98,140.87,144.85,60465200,8758384589.05,0
1694525400000,2023-09-12,AMZN,142.32,143.00,140.61,141.23,42668500,6026072072.70,0
1694439000000,2023-09-11,AMZN,138.75,143.62,138.64,143.10,56764500,8123000296.46,0
1694179800000,2023-09-08,AMZN,136.86,138.85,136.75,138.23,38348200,5300871522.16,0
1694093400000,2023-09-07,AMZN,133.90,138.03,133.16,137.85,48498900,6685573661.01,0
1694007000000,2023-09-06,AMZN,136.32,137.45,134.61,135.36,41785500,5656085305.50,0
1693920600000,2023-09-05,AMZN,137.73,137.80,135.82,137.27,40636700,5578199982.62,0
1693575000000,2023-09-01,AMZN,139.46,139.96,136.88,138.12,40991500,5661745779.85,0
1693488600000,2023-08-31,AMZN,135.06,138.79,135.00,138.01,58781300,8112406890.10,0
1693402200000,2023-08-30,AMZN,134.93,135.68,133.92,135.07,36137000,4881024854.68,0
1693315800000,2023-08-29,AMZN,133.38,135.14,133.25,134.91,38646100,5213745492.53,0
1693229400000,2023-08-28,AMZN,133.78,133.95,131.85,133.14,34108400,4541192355.18,0
1692970200000,2023-08-25,AMZN,132.47,133.87,130.58,133.26,44147500,5883095607.49,0
1692883800000,2023-08-24,AMZN,136.40,136.78,131.83,131.84,43646300,5754328032.16,0
1692797400000,2023-08-23,AMZN,134.50,135.95,133.22,135.52,42801000,5800391702.87,0
1692711000000,2023-08-22,AMZN,135.08,135.65,133.73,134.25,32905400,4417549950.00,0
1692624600000,2023-08-21,AMZN,133.74,135.19,132.71,134.68,41442500,5581475596.47,0
1692365400000,2023-08-18,AMZN,131.62,134.07,131.15,133.22,48497700,6460863653.20,0
1692279000000,2023-08-17,AMZN,135.46,136.09,133.53,133.98,48354100,6478482111.41,0
1692192600000,2023-08-16,AMZN,137.19,137.27,135.01,135.07,41675900,5629164118.24,0
1692106200000,2023-08-15,AMZN,140.05,141.28,137.23,137.67,42781500,5889729026.66,0
1692019800000,2023-08-14,AMZN,138.30,140.59,137.75,140.57,47148700,6627693104.33,0
1691760600000,2023-08-11,AMZN,137.40,139.33,137.00,138.41,42905800,5938591935.13,0
