https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume GOOGL,Volume USDT,tradecount
1708439400000,2024-02-20,GOOGL,139.66,142.08,139.49,141.12,25144700,3548419941.22,0
1708093800000,2024-02-16,GOOGL,142.99,143.19,140.14,140.52,31468900,4422009962.45,0
1708007400000,2024-02-15,GOOGL,143.14,143.52,140.46,142.77,37590700,5366824399.60,0
1707921000000,2024-02-14,GOOGL,146.08,146.52,144.09,145.94,22704200,3313451003.43,0
1707834600000,2024-02-13,GOOGL,144.92,146.67,143.69,145.14,27837700,4040363761.01,0
1707748200000,2024-02-12,GOOGL,148.42,149.34,147.37,147.53,21564100,3181351646.68,0
1707489000000,2024-02-09,GOOGL,146.68,149.44,146.18,149.00,26829500,3997595500.00,0
1707402600000,2024-02-08,GOOGL,145.83,146.33,145.10,145.91,22563800,3292284140.63,0
1707316200000,2024-02-07,GOOGL,144.76,145.62,143.93,145.54,25208900,3668903136.75,0
1707229800000,2024-02-06,GOOGL,144.65,145.36,143.19,144.10,29128200,4197373797.78,0
1707143400000,2024-02-05,GOOGL,142.82,145.47,142.78,143.68,38505400,5532455589.98,0
1706884200000,2024-02-02,GOOGL,139.26,142.62,136.50,142.38,62499600,8898693353.17,0
1706797800000,2024-02-01,GOOGL,142.12,143.06,140.79,141.16,40466500,5712251288.19,0
1706711400000,2024-01-31,GOOGL,143.62,144.00,139.87,140.10,71910000,10074591438.90,0
1706625000000,2024-01-30,GOOGL,152.80,153.62,151.19,151.46,36331800,5502814671.93,0
1706538600000,2024-01-29,GOOGL,152.06,153.78,151.43,153.51,27784300,4265167740.38,0
1706279400000,2024-01-26,GOOGL,151.10,152.54,151.01,152.19,26115500,3974518008.76,0
1706193000000,2024-01-25,GOOGL,150.07,153.05,149.54,151.87,29149100,4426873674.67,0
1706106600000,2024-01-24,GOOGL,148.54,149.85,148.10,148.70,25233500,3752221372.99,0
1706020200000,2024-01-23,GOOGL,145.89,147.18,145.50,147.04,21636100,3181371998.74,0
