https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume NFLX,Volume USDT,tradecount
1730989800000,2024-11-07,NFLX,78.14,79.82,77.99,79.65,32951000,2624678931.88,0
1730903400000,2024-11-06,NFLX,77.15,78.15,75.74,78.02,36908000,2879599205.41,0
1730817000000,2024-11-05,NFLX,75.74,76.75,75.63,76.39,22006000,1681060320.48,0
1730730600000,2024-11-04,NFLX,75.31,76.25,74.97,75.55,19022000,1437131169.60,0
1730467800000,2024-11-01,NFLX,75.35,76.38,74.78,75.61,29968000,2265880498.29,0
1730381400000,2024-10-31,NFLX,75.39,76.08,75.22,75.60,30577000,2311712833.95,0
1730295000000,2024-10-30,NFLX,75.81,75.98,75.23,75.37,17220000,1297940289.46,0
1730208600000,2024-10-29,NFLX,75.11,76.39,74.80,75.94,36604000,2779854184.94,0
1730122200000,2024-10-28,NFLX,75.87,75.87,74.79,74.91,28624000,2144281161.38,0
1729863000000,2024-10-25,NFLX,75.62,76.85,75.35,75.47,28195000,2127820325.39,0
1729776600000,2024-10-24,NFLX,75.20,75.58,74.62,75.46,26430000,1994275698.39,0
1729690200000,2024-10-23,NFLX,76.28,76.38,74.43,74.93,37490000,2809088242.03,0
1729603800000,2024-10-22,NFLX,76.53,76.97,76.11,76.42,29873000,2283014259.57,0
1729517400000,2024-10-21,NFLX,76.58,77.30,75.66,77.21,60571000,4676505241.36,0
1729258200000,2024-10-18,NFLX,73.76,76.63,73.62,76.39,159741000,12202455239.25,0
1729171800000,2024-10-17,NFLX,70.43,70.44,67.79,68.76,89267000,6138445200.52,0
1729085400000,2024-10-16,NFLX,70.34,70.56,69.78,70.20,24943000,1750998523.88,0
1728999000000,2024-10-15,NFLX,71.25,71.34,69.98,70.60,29328000,2070498131.47,0
1728912600000,2024-10-14,NFLX,72.50,72.66,71.13,71.30,27971000,1994332385.36,0
1728653400000,2024-10-11,NFLX,73.49,73.60,72.12,72.28,22995000,1662055589.56,0
1728567000000,2024-10-10,NFLX,72.33,73.39,72.25,73.03,27679000,2021369672.42,0
1728480600000,2024-10-09,NFLX,71.93,72.86,71.89,72.74,19811000,1441111498.03,0
1728394200000,2024-10-08,NFLX,70.39,72.51,70.36,72.18,31874000,2300537903.76,0
1728307800000,2024-10-07,NFLX,71.48,71.59,69.64,70.19,33605000,2358802205.12,0
1728048600000,2024-10-04,NFLX,71.33,72.10,70.88,71.97,22290000,1604211327.21,0
1727962200000,2024-10-03,NFLX,70.43,70.88,70.00,70.68,22564000,1594823526.89,0
1727875800000,2024-10-02,NFLX,70.61,71.62,70.47,71.11,17582000,1250238458.39,0
1727789400000,2024-10-01,NFLX,71.36,71.78,69.86,70.61,28135000,1986696725.81,0
1727703000000,2024-09-30,NFLX,70.70,71.12,70.28,70.93,17099000,1212780806.40,0
1727443800000,2024-09-27,NFLX,70.84,71.07,70.12,70.74,23956000,1694527674.62,0
1727357400000,2024-09-26,NFLX,72.47,72.53,70.17,71.14,28330000,2015481126.02,0
1727271000000,2024-09-25,NFLX,72.10,72.51,71.62,72.16,22598000,1630581248.00,0
1727184600000,2024-09-24,NFLX,70.66,72.24,70.44,72.23,35657000,2575362408.00,0
1727098200000,2024-09-23,NFLX,70.24,71.22,69.92,70.54,32243000,2274324573.65,0
1726839000000,2024-09-20,NFLX,70.56,70.67,69.63,70.10,39981000,2802787916.11,0
1726752600000,2024-09-19,NFLX,70.50,71.57,69.54,70.43,42285000,2978217086.45,0
1726666200000,2024-09-18,NFLX,70.75,70.75,68.80,69.05,29844000,2060638580.57,0
1726579800000,2024-09-17,NFLX,70.08,70.76,69.84,70.69,22986000,1624903369.49,0
