https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume PYPL,Volume USDT,tradecount
1710768600000,2024-03-18,PYPL,63.12,64.76,63.10,64.23,14219900,913344224.74,0
1710509400000,2024-03-15,PYPL,62.60,63.83,62.43,62.85,20040000,1259513969.42,0
1710423000000,2024-03-14,PYPL,62.51,64.20,62.21,63.00,19342000,1218546000.00,0
1710336600000,2024-03-13,PYPL,59.98,63.30,59.81,62.45,19983400,1247963345.25,0
1710250200000,2024-03-12,PYPL,59.80,60.47,59.30,60.03,13485100,809510536.54,0
1710163800000,2024-03-11,PYPL,59.00,60.22,58.94,60.08,11172700,671255836.46,0
1709908200000,2024-03-08,PYPL,58.72,59.56,58.24,59.01,18283500,1078909304.31,0
1709821800000,2024-03-07,PYPL,58.46,59.06,57.95,58.50,19447900,1137702150.00,0
1709735400000,2024-03-06,PYPL,58.75,58.92,57.91,58.12,17187400,998931669.64,0
1709649000000,2024-03-05,PYPL,59.51,60.83,57.87,58.27,18056700,1052163917.27,0
1709562600000,2024-03-04,PYPL,60.41,60.60,58.86,59.98,17125200,1027169488.16,0
1709303400000,2024-03-01,PYPL,60.53,61.64,60.21,60.54,17590400,1064922832.10,0
1709217000000,2024-02-29,PYPL,60.60,61.87,60.01,60.34,17117300,1032857884.61,0
1709130600000,2024-02-28,PYPL,59.70,60.90,59.44,60.25,9851600,593558900.00,0
1709044200000,2024-02-27,PYPL,59.57,60.24,59.44,60.16,11467600,689890814.25,0
1708957800000,2024-02-26,PYPL,58.93,60.17,58.71,59.33,11065600,656522068.26,0
1708698600000,2024-02-23,PYPL,58.85,59.43,58.23,59.16,13357000,790200117.96,0
1708612200000,2024-02-22,PYPL,57.77,58.64,57.37,58.35,17293000,1009046523.61,0
1708525800000,2024-02-21,PYPL,58.08,58.45,57.15,57.48,13377900,768961685.88,0
1708439400000,2024-02-20,PYPL,58.23,59.03,58.19,58.63,12598700,738661794.46,0
1708093800000,2024-02-16,PYPL,58.86,59.75,58.45,59.14,12195800,721259604.56,0
1708007400000,2024-02-15,PYPL,58.86,60.24,58.06,59.70,13321000,795263710.16,0
1707921000000,2024-02-14,PYPL,58.60,59.01,57.63,58.87,16520600,972567704.35,0
1707834600000,2024-02-13,PYPL,57.88,58.73,57.86,58.26,19540200,1138412019.20,0
1707748200000,2024-02-12,PYPL,58.61,60.62,58.42,60.09,21768200,1308051141.32,0
1707489000000,2024-02-09,PYPL,56.21,59.22,56.16,58.91,31421400,1851034669.21,0
1707402600000,2024-02-08,PYPL,57.98,58.59,55.77,56.13,68272700,3832146723.92,0
1707316200000,2024-02-07,PYPL,64.54,64.90,62.85,63.24,33211300,2100282667.74,0
1707229800000,2024-02-06,PYPL,62.03,63.73,61.62,63.71,17564300,1119021536.92,0
1707143400000,2024-02-05,PYPL,62.00,62.08,61.30,61.54,10223300,629141891.36,0
1706884200000,2024-02-02,PYPL,61.79,62.72,61.00,62.42,14618900,912511711.23,0
1706797800000,2024-02-01,PYPL,61.51,62.06,60.64,62.02,13449400,834131794.16,0
1706711400000,2024-01-31,PYPL,63.00,63.40,61.19,61.35,15623100,958477161.16,0
1706625000000,2024-01-30,PYPL,62.90,64.50,62.07,63.68,18786100,1196298853.73,0
1706538600000,2024-01-29,PYPL,61.20,63.79,60.90,63.76,15913900,1014670237.29,0
1706279400000,2024-01-26,PYPL,60.32,62.27,60.01,61.78,18430700,1138648623.50,0
1706193000000,2024-01-25,PYPL,63.46,64.33,58.90,60.71,43452600,2638007306.22,0
1706106600000,2024-01-24,PYPL,65.99,66.00,62.96,63.02,21694100,1367162191.93,0
1706020200000,2024-01-23,PYPL,64.53,65.73,64.18,64.78,19883700,1288066061.73,0
1705933800000,2024-01-22,PYPL,68.02,68.21,63.22,63.74,44006900,2804999879.86,0
1705674600000,2024-01-19,PYPL,63.00,66.21,62.26,65.82,38264600,2518575960.32,0
1705588200000,2024-01-18,PYPL,60.49,62.47,60.12,62.09,25339500,1573329558.87,0
1705501800000,2024-01-17,PYPL,57.42,59.98,56.47,59.89,29527400,1768395967.98,0
1705415400000,2024-01-16,PYPL,60.05,60.24,58.10,58.45,20907100,1222020010.95,0
1705069800000,2024-01-12,PYPL,61.80,61.91,60.74,61.00,9282600,566238600.00,0
1704983400000,2024-01-11,PYPL,60.65,61.49,60.08,61.35,11900700,730107926.84,0
1704897000000,2024-01-10,PYPL,60.95,61.43,60.29,60.96,10137900,618006374.72,0
1704810600000,2024-01-09,PYPL,60.28,62.02,60.12,61.05,14877300,908259153.65,0
1704724200000,2024-01-08,PYPL,60.40,61.92,60.06,61.74,14264400,880684079.94,0
1704465000000,2024-01-05,PYPL,57.74,60.37,57.64,60.12,17420200,1047302405.39,0
1704378600000,2024-01-04,PYPL,58.02,59.06,57.44,58.45,16680400,974969392.73,0
1704292200000,2024-01-03,PYPL,60.70,60.75,58.35,58.63,21245800,1245641276.69,0
1704205800000,2024-01-02,PYPL,61.22,62.16,60.43,61.46,15248400,937166650.04,0
1703860200000,2023-12-29,PYPL,63.00,63.16,61.15,61.41,16807400,1032142431.44,0
1703773800000,2023-12-28,PYPL,62.62,63.50,62.45,63.08,11233400,708602892.57,0
1703687400000,2023-12-27,PYPL,62.67,62.83,62.11,62.68,11112300,696518967.39,0
1703601000000,2023-12-26,PYPL,61.95,62.69,61.86,62.56,9940600,621883949.65,0
1703255400000,2023-12-22,PYPL,62.17,62.73,61.58,61.84,13175400,814766738.01,0
1703169000000,2023-12-21,PYPL,62.21,62.45,61.59,62.06,12195100,756827922.75,0
1703082600000,2023-12-20,PYPL,62.95,63.97,61.67,61.74,17421000,1075572569.24,0
1702996200000,2023-12-19,PYPL,61.79,63.28,61.72,63.01,19929000,1255726256.55,0
1702909800000,2023-12-18,PYPL,61.42,61.73,60.85,61.47,13800100,848292163.85,0
1702650600000,2023-12-15,PYPL,62.37,62.37,60.82,61.26,24011000,1470913819.70,0
1702564200000,2023-12-14,PYPL,62.94,64.13,61.21,61.87,27947300,1729099421.15,0
1702477800000,2023-12-13,PYPL,58.73,61.89,58.54,61.73,19128100,1180777604.24,0
1702391400000,2023-12-12,PYPL,59.39,59.39,58.13,58.89,13845500,815361486.55,0
1702305000000,2023-12-11,PYPL,59.10,59.80,58.96,59.04,12082700,713362619.06,0
1702045800000,2023-12-08,PYPL,58.26,59.74,57.40,58.94,15467500,911654428.76,0
1701959400000,2023-12-07,PYPL,59.09,59.15,58.12,58.48,17422400,1018861944.02,0
1701873000000,2023-12-06,PYPL,57.83,60.46,57.75,59.53,25245600,1502870537.18,0
1701786600000,2023-12-05,PYPL,59.31,59.47,57.32,57.92,21506500,1245656440.62,0
1701700200000,2023-12-04,PYPL,59.43,60.38,59.24,59.85,14107900,844357793.47,0
1701441000000,2023-12-01,PYPL,57.63,59.81,57.45,59.65,18435700,1099689533.13,0
