https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume CRM,Volume USDT,tradecount
1682429400000,2023-04-25,CRM,193.97,194.12,190.63,190.67,5010000,955256690.83,0
1682343000000,2023-04-24,CRM,198.45,198.77,194.06,194.92,4449700,867335515.85,0
1682083800000,2023-04-21,CRM,197.03,199.12,196.47,199.03,4860100,967305697.07,0
1681997400000,2023-04-20,CRM,197.18,200.08,196.82,197.51,3620000,714986180.11,0
1681911000000,2023-04-19,CRM,196.30,199.07,195.73,198.92,3665100,729061685.29,0
1681824600000,2023-04-18,CRM,199.08,200.12,197.06,198.50,4679000,928781500.00,0
1681738200000,2023-04-17,CRM,195.16,197.52,195.03,197.08,5413500,1066892589.91,0
1681479000000,2023-04-14,CRM,191.85,195.17,191.19,194.65,5073800,987615139.03,0
1681392600000,2023-04-13,CRM,190.45,194.38,190.45,194.02,4716400,915075948.15,0
1681306200000,2023-04-12,CRM,190.30,191.89,189.53,190.32,5033400,957956724.87,0
1681219800000,2023-04-11,CRM,189.06,190.46,187.31,188.89,4907700,927015450.00,0
1681133400000,2023-04-10,CRM,190.59,192.55,189.28,191.49,5263800,1007965090.91,0
1680787800000,2023-04-06,CRM,194.00,194.07,189.60,192.55,6304700,1213970004.24,0
1680701400000,2023-04-05,CRM,198.00,198.29,193.73,195.31,3953700,772197137.35,0
1680615000000,2023-04-04,CRM,198.15,198.70,196.62,197.20,4659100,918774505.78,0
1680528600000,2023-04-03,CRM,198.22,198.93,195.53,196.49,5340800,1049413821.34,0
1680269400000,2023-03-31,CRM,197.49,200.00,196.99,199.78,6634300,1325400445.90,0
1680183000000,2023-03-30,CRM,197.77,198.17,195.49,196.60,6932500,1362929542.31,0
1680096600000,2023-03-29,CRM,193.14,197.43,192.88,196.64,8085200,1589873723.07,0
1680010200000,2023-03-28,CRM,191.18,192.83,191.18,192.30,4899000,942077714.95,0
1679923800000,2023-03-27,CRM,188.92,192.11,188.91,191.26,7776500,1487333347.28,0
1679664600000,2023-03-24,CRM,186.50,190.32,186.09,190.06,6102700,1159879147.10,0
1679578200000,2023-03-23,CRM,187.40,190.56,185.58,187.44,8685000,1627916421.20,0
1679491800000,2023-03-22,CRM,190.00,191.44,186.41,186.51,6575600,1226415119.88,0
1679405400000,2023-03-21,CRM,185.87,189.28,184.89,188.68,6982000,1317363708.86,0
1679319000000,2023-03-20,CRM,184.21,185.52,182.65,185.25,5513200,1021320300.00,0
1679059800000,2023-03-17,CRM,186.04,187.66,184.18,184.85,10493300,1939686569.05,0
1678973400000,2023-03-16,CRM,183.30,187.65,182.98,187.30,8369500,1567607375.54,0
1678887000000,2023-03-15,CRM,179.16,183.86,178.21,182.91,7716900,1411498207.26,0
1678800600000,2023-03-14,CRM,180.00,185.31,179.11,182.89,10138100,1854157102.81,0
1678714200000,2023-03-13,CRM,171.00,177.10,170.00,175.51,9154800,1606758897.71,0
1678458600000,2023-03-10,CRM,178.50,179.36,171.71,173.18,14109000,2443396516.66,0
1678372200000,2023-03-09,CRM,183.10,183.84,178.54,178.72,7102400,1269340936.67,0
1678285800000,2023-03-08,CRM,183.30,184.90,181.80,182.95,6749100,1234747824.40,0
1678199400000,2023-03-07,CRM,184.46,186.16,183.03,183.32,9024300,1654334742.10,0
1678113000000,2023-03-06,CRM,185.07,189.00,183.63,183.80,10770300,1979581172.87,0
1677853800000,2023-03-03,CRM,188.07,189.77,184.29,186.43,12087200,2253416607.47,0
1677767400000,2023-03-02,CRM,193.12,193.91,185.20,186.59,37712500,7036775236.89,0
1677681000000,2023-03-01,CRM,162.99,167.98,162.98,167.35,15841200,2651024916.69,0
1677594600000,2023-02-28,CRM,162.53,164.45,161.53,163.61,6912600,1130970490.22,0
1677508200000,2023-02-27,CRM,163.84,164.77,162.22,163.14,6891200,1124230363.79,0
1677249000000,2023-02-24,CRM,160.59,162.39,159.66,162.20,6569900,1065637759.95,0
1677162600000,2023-02-23,CRM,165.29,165.47,161.57,164.12,4679400,767983105.15,0
1677076200000,2023-02-22,CRM,163.11,165.00,162.11,163.36,4343700,709586834.65,0
1676989800000,2023-02-21,CRM,163.74,164.51,161.45,161.62,5210800,842169470.56,0
1676644200000,2023-02-17,CRM,165.03,167.11,162.74,165.17,8084500,1335316850.20,0
1676557800000,2023-02-16,CRM,168.99,170.37,167.96,168.11,7483500,1258051189.57,0
1676471400000,2023-02-15,CRM,168.85,171.61,168.24,171.10,4997000,854986730.50,0
1676385000000,2023-02-14,CRM,168.22,172.79,167.85,169.96,8393100,1426491332.35,0
1676298600000,2023-02-13,CRM,168.28,171.16,166.95,171.08,8820300,1508976940.15,0
1676039400000,2023-02-10,CRM,167.66,169.74,165.33,167.03,11273700,1883046097.24,0
1675953000000,2023-02-09,CRM,173.33,175.38,172.01,173.66,11512300,1999226060.16,0
1675866600000,2023-02-08,CRM,170.00,172.45,169.23,169.63,7694500,1305218072.57,0
1675780200000,2023-02-07,CRM,167.57,171.73,166.61,171.28,6179200,1058373368.46,0
