https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume DIS,Volume USDT,tradecount
1746451800000,2025-05-05,DIS,89.70,93.08,89.61,92.11,10231000,942377416.24,0
1746192600000,2025-05-02,DIS,91.84,93.19,91.84,92.49,7594000,702369043.78,0
1746106200000,2025-05-01,DIS,91.27,91.61,90.36,90.81,7790600,707464366.98,0
1746019800000,2025-04-30,DIS,89.89,91.19,88.56,90.95,8474800,770783034.14,0
1745933400000,2025-04-29,DIS,89.83,91.66,89.76,91.17,6359900,579832071.35,0
1745847000000,2025-04-28,DIS,90.45,91.37,89.64,90.16,8491800,765620719.10,0
1745587800000,2025-04-25,DIS,90.07,90.34,89.07,90.28,7749600,699633878.54,0
1745501400000,2025-04-24,DIS,87.45,90.24,86.77,90.01,10310000,928003122.02,0
1745415000000,2025-04-23,DIS,89.03,89.87,87.03,87.29,12089100,1055257550.07,0
1745328600000,2025-04-22,DIS,85.01,86.56,84.60,86.09,9578500,824613029.92,0
1745242200000,2025-04-21,DIS,84.91,85.23,82.98,84.00,14166800,1190011200.00,0
1744896600000,2025-04-17,DIS,83.37,85.78,83.36,84.81,14810900,1256112392.84,0
1744810200000,2025-04-16,DIS,84.28,84.80,82.01,82.77,10144300,839643676.95,0
1744723800000,2025-04-15,DIS,84.75,85.98,84.52,85.01,7840500,666520921.75,0
1744637400000,2025-04-14,DIS,85.83,86.45,84.03,84.66,10841300,917824497.70,0
1744378200000,2025-04-11,DIS,85.11,85.67,83.35,84.89,10204400,866251509.77,0
1744291800000,2025-04-10,DIS,88.92,89.01,83.07,85.23,16377000,1395811764.98,0
1744205400000,2025-04-09,DIS,81.29,92.25,81.19,91.44,24970900,2283339156.96,0
1744119000000,2025-04-08,DIS,85.95,86.95,80.85,81.72,14845600,1213182450.12,0
1744032600000,2025-04-07,DIS,80.99,86.63,80.10,83.30,20456000,1703984862.43,0
1743773400000,2025-04-04,DIS,86.00,87.54,83.08,83.53,22580900,1886182549.44,0
1743687000000,2025-04-03,DIS,94.51,94.78,88.61,88.84,19353400,1719355985.13,0
1743600600000,2025-04-02,DIS,96.62,98.31,96.45,97.88,7959900,779114990.14,0
1743514200000,2025-04-01,DIS,98.32,98.59,96.84,97.68,8762700,855940538.67,0
1743427800000,2025-03-31,DIS,96.83,98.85,95.70,98.70,10554000,1041679767.79,0
1743168600000,2025-03-28,DIS,100.05,100.39,97.74,98.07,7679700,753148176.66,0
1743082200000,2025-03-27,DIS,100.71,101.03,99.58,100.45,6598800,662849439.86,0
1742995800000,2025-03-26,DIS,101.70,102.27,100.26,100.78,6314000,636324912.29,0
1742909400000,2025-03-25,DIS,100.65,101.76,100.41,101.61,7365200,748377976.50,0
1742823000000,2025-03-24,DIS,100.22,100.44,98.86,100.18,8224400,823920394.51,0
1742563800000,2025-03-21,DIS,98.38,99.89,97.75,99.46,15089900,1500841440.18,0
1742477400000,2025-03-20,DIS,99.57,100.05,98.64,98.86,7836500,774716394.78,0
1742391000000,2025-03-19,DIS,99.66,100.96,99.47,100.29,8614600,863958241.89,0
1742304600000,2025-03-18,DIS,99.27,99.73,98.48,99.35,6727000,668327439.74,0
1742218200000,2025-03-17,DIS,98.74,100.12,98.66,99.36,8332100,827877461.09,0
1741959000000,2025-03-14,DIS,97.44,99.10,97.42,98.64,10199800,1006108265.77,0
1741872600000,2025-03-13,DIS,97.77,98.65,95.93,96.87,11059500,1071333795.38,0
1741786200000,2025-03-12,DIS,98.68,99.49,96.38,98.76,11891800,1174434193.40,0
1741699800000,2025-03-11,DIS,99.79,101.04,97.45,97.90,16906000,1655097425.80,0
1741613400000,2025-03-10,DIS,104.43,104.80,102.11,103.08,10947100,1128427088.04,0
1741357800000,2025-03-07,DIS,105.00,105.77,103.31,105.51,12715900,1341654636.16,0
1741271400000,2025-03-06,DIS,108.38,108.83,105.02,105.43,11618800,1224970087.55,0
1741185000000,2025-03-05,DIS,109.34,110.94,108.22,109.31,9956100,1088301266.69,0
1741098600000,2025-03-04,DIS,111.70,112.25,108.27,109.01,12658000,1379848607.04,0
1741012200000,2025-03-03,DIS,114.07,115.55,112.00,112.79,7884700,889315320.22,0
1740753000000,2025-02-28,DIS,111.46,113.99,111.00,113.80,14609400,1662549764.58,0
1740666600000,2025-02-27,DIS,112.32,113.12,111.06,111.31,7854700,874306637.82,0
1740580200000,2025-02-26,DIS,110.06,113.25,110.06,111.83,7831600,875807842.34,0
1740493800000,2025-02-25,DIS,111.43,111.90,109.07,110.53,7289000,805653161.10,0
1740407400000,2025-02-24,DIS,108.84,111.56,108.65,111.20,7093300,788774938.35,0
1740148200000,2025-02-21,DIS,111.00,111.76,107.92,108.66,9082100,986861019.26,0
1740061800000,2025-02-20,DIS,111.24,111.52,109.38,110.55,5970100,659994573.22,0
1739975400000,2025-02-19,DIS,109.14,111.76,109.14,111.35,8452100,941141322.10,0
1739889000000,2025-02-18,DIS,109.78,109.92,108.71,109.56,8362900,916239303.58,0
1739543400000,2025-02-14,DIS,109.86,110.51,109.59,110.38,5964500,658361493.62,0
1739457000000,2025-02-13,DIS,108.92,109.76,108.56,109.59,6553200,718165164.00,0
1739370600000,2025-02-12,DIS,108.25,109.53,107.75,109.23,6521200,712310697.89,0
1739284200000,2025-02-11,DIS,108.38,109.05,107.69,109.02,7456700,812929408.97,0
1739197800000,2025-02-10,DIS,111.14,111.38,108.69,109.28,8239500,900412549.94,0
1738938600000,2025-02-07,DIS,111.61,112.55,110.81,110.86,8669300,961078603.29,0
1738852200000,2025-02-06,DIS,111.88,112.68,109.15,112.09,12470800,1397851926.33,0
1738765800000,2025-02-05,DIS,115.70,118.59,110.23,110.54,23310000,2576687421.34,0
1738679400000,2025-02-04,DIS,113.80,114.66,112.51,113.30,13521100,1531940671.26,0
1738593000000,2025-02-03,DIS,111.35,114.60,110.86,114.00,8870700,1011259800.00,0
1738333800000,2025-01-31,DIS,113.30,114.01,112.76,113.06,7793400,881121784.97,0
1738247400000,2025-01-30,DIS,114.09,115.18,113.12,113.43,6236200,707372167.90,0
1738161000000,2025-01-29,DIS,113.50,114.38,112.76,113.19,7607100,861047667.57,0
1738074600000,2025-01-28,DIS,112.85,112.96,111.56,112.14,6516800,730793948.02,0
1737988200000,2025-01-27,DIS,111.68,114.08,111.46,113.34,10176900,1153449808.73,0
1737729000000,2025-01-24,DIS,111.16,113.39,110.63,112.16,8304500,931432750.41,0
1737642600000,2025-01-23,DIS,108.50,111.07,108.49,111.04,7608300,844825638.97,0
1737556200000,2025-01-22,DIS,109.55,109.55,108.23,108.81,8781700,955536755.56,0
1737469800000,2025-01-21,DIS,107.10,109.45,106.80,108.70,8643700,939570163.62,0
1737124200000,2025-01-17,DIS,106.83,107.74,106.54,107.02,7144300,764582962.02,0
1737037800000,2025-01-16,DIS,108.29,108.60,106.16,106.46,7872800,838138280.79,0
1736951400000,2025-01-15,DIS,109.17,109.60,107.99,108.18,6296900,681198643.92,0
1736865000000,2025-01-14,DIS,108.68,108.96,107.61,108.12,5501600,594833007.11,0
1736778600000,2025-01-13,DIS,107.93,108.61,106.72,108.08,6690200,723076828.25,0
1736519400000,2025-01-10,DIS,110.00,110.54,107.62,108.65,8835500,959977088.48,0
1736346600000,2025-01-08,DIS,111.00,111.11,108.64,109.76,7805300,856709744.67,0
1736260200000,2025-01-07,DIS,112.15,113.74,111.29,111.39,7878800,877619527.19,0
1736173800000,2025-01-06,DIS,111.47,112.85,110.87,111.05,6274400,696772139.15,0
1735914600000,2025-01-03,DIS,111.37,111.54,110.18,111.16,5393100,599497015.75,0
1735828200000,2025-01-02,DIS,111.70,112.20,110.17,110.82,5688100,630355240.26,0
1735655400000,2024-12-31,DIS,110.78,111.59,110.67,111.35,4757500,529747617.74,0
1735569000000,2024-12-30,DIS,110.43,111.54,109.83,110.80,5716300,633366057.44,0
1735309800000,2024-12-27,DIS,111.82,112.12,110.86,111.55,4523800,504629903.81,0
1735223400000,2024-12-26,DIS,112.12,113.32,111.86,112.55,4781400,538146584.59,0
1735050600000,2024-12-24,DIS,111.25,112.74,111.19,112.56,2475000,278585993.96,0
1734964200000,2024-12-23,DIS,111.61,111.85,110.31,111.40,6037200,672544089.21,0
1734705000000,2024-12-20,DIS,110.61,112.97,110.43,112.03,17955300,2011532237.08,0
1734618600000,2024-12-19,DIS,111.66,112.91,111.25,111.37,9468500,1054506871.01,0
1734532200000,2024-12-18,DIS,113.34,116.12,111.24,111.35,12292800,1368803261.24,0
1734445800000,2024-12-17,DIS,111.03,114.04,110.80,113.02,12238600,1383206530.92,0
1734359400000,2024-12-16,DIS,113.00,113.07,111.73,112.11,10528500,1180350141.43,0
1734100200000,2024-12-13,DIS,114.32,114.96,113.30,113.34,6864500,778022404.86,0
1734013800000,2024-12-12,DIS,114.70,115.01,114.16,114.90,5285100,607257998.06,0
1733927400000,2024-12-11,DIS,114.64,115.05,113.98,114.61,6426800,736575551.92,0
1733841000000,2024-12-10,DIS,114.65,114.95,113.72,114.73,7526400,863503897.27,0
1733754600000,2024-12-09,DIS,116.39,117.18,113.91,114.61,8666100,993221726.29,0
1733495400000,2024-12-06,DIS,116.55,117.26,116.22,116.73,6677900,779511289.42,0
1733409000000,2024-12-05,DIS,116.55,117.27,116.06,116.50,9823600,1144449400.00,0
1733322600000,2024-12-04,DIS,115.97,117.29,115.84,116.99,7996200,935475420.92,0
1733236200000,2024-12-03,DIS,117.00,117.23,115.45,116.45,9194000,1070641271.94,0
1733149800000,2024-12-02,DIS,117.78,118.63,116.55,117.16,8390500,983031010.73,0
1732890600000,2024-11-29,DIS,117.26,117.74,116.73,117.47,5095200,598533150.22,0
1732717800000,2024-11-27,DIS,115.45,118.20,115.45,117.60,8142400,957546227.58,0
1732631400000,2024-11-26,DIS,116.00,116.42,115.44,115.45,6808100,785995124.22,0
1732545000000,2024-11-25,DIS,115.68,116.58,114.93,116.00,10397800,1206144800.00,0
1732285800000,2024-11-22,DIS,113.85,116.34,113.60,115.65,10098000,1167833715.41,0
1732199400000,2024-11-21,DIS,114.15,116.25,113.83,114.72,10261000,1177141932.53,0
1732113000000,2024-11-20,DIS,112.26,114.37,111.47,114.26,9319300,1064823237.91,0
1732026600000,2024-11-19,DIS,112.05,112.50,110.82,112.42,12166800,1367791633.72,0
1731940200000,2024-11-18,DIS,113.33,115.44,112.89,113.54,14226200,1615242761.02,0
1731681000000,2024-11-15,DIS,110.25,115.19,110.25,115.08,32048000,3688083898.68,0
1731594600000,2024-11-14,DIS,110.33,114.81,108.40,109.12,47436100,5176227362.29,0
1731508200000,2024-11-13,DIS,100.79,103.20,100.35,102.72,17701300,1818277557.61,0
1731421800000,2024-11-12,DIS,100.55,101.29,99.50,100.99,9366200,945892517.99,0
1731335400000,2024-11-11,DIS,99.00,100.90,99.00,100.86,9137900,921648599.58,0
1731076200000,2024-11-08,DIS,98.73,99.26,97.61,99.02,7982100,790387515.20,0
1730989800000,2024-11-07,DIS,98.78,99.52,98.13,98.93,7805100,772158545.38,0
1730903400000,2024-11-06,DIS,98.21,99.55,98.21,98.89,11325100,1119939132.09,0
1730817000000,2024-11-05,DIS,95.60,96.67,95.25,96.63,6561700,634057052.98,0
