https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume V,Volume USDT,tradecount
1657719000000,2022-07-13,V,200.43,205.57,199.50,204.15,7597300,1550988748.63,0
1657632600000,2022-07-12,V,203.25,208.12,202.76,204.82,6779500,1388577239.65,0
1657546200000,2022-07-11,V,202.00,206.74,202.00,205.06,5353600,1097809202.93,0
1657287000000,2022-07-08,V,202.32,204.10,200.46,203.57,3621800,737289852.53,0
1657200600000,2022-07-07,V,202.54,203.43,200.04,202.80,4650700,943161974.19,0
1657114200000,2022-07-06,V,200.00,202.51,198.67,201.12,4111200,826844523.93,0
1657027800000,2022-07-05,V,196.23,200.57,194.14,200.54,4110200,824259480.40,0
1656682200000,2022-07-01,V,196.79,199.80,194.71,199.18,4131800,822971893.74,0
1656595800000,2022-06-30,V,195.37,198.85,192.85,196.89,7045200,1387129423.70,0
1656509400000,2022-06-29,V,197.32,200.64,197.32,199.50,4324600,862757700.00,0
1656423000000,2022-06-28,V,204.00,206.79,197.50,198.12,4354200,862654082.74,0
1656336600000,2022-06-27,V,205.75,207.09,202.61,203.56,6121200,1246031457.06,0
1656077400000,2022-06-24,V,197.73,205.64,197.51,205.51,7754800,1593688905.40,0
1655991000000,2022-06-23,V,196.14,197.46,193.45,196.64,4752800,934590589.10,0
1655904600000,2022-06-22,V,191.25,196.39,191.03,193.82,5138500,995944107.64,0
1655818200000,2022-06-21,V,195.71,196.73,193.73,194.39,6241600,1213304620.19,0
1655472600000,2022-06-17,V,186.93,191.31,185.91,190.01,15089300,2867117810.11,0
1655386200000,2022-06-16,V,191.41,191.87,187.53,189.05,9887200,1869175190.17,0
1655299800000,2022-06-15,V,195.98,198.83,192.23,196.16,6490000,1273078423.77,0
1655213400000,2022-06-14,V,192.72,194.34,191.75,193.52,6441200,1246501051.52,0
1655127000000,2022-06-13,V,192.99,195.89,191.08,192.26,7119200,1368737352.89,0
1654867800000,2022-06-10,V,201.65,203.42,199.18,199.51,5162500,1029970346.64,0
1654781400000,2022-06-09,V,212.59,213.71,206.02,206.11,5138600,1059116849.14,0
1654695000000,2022-06-08,V,213.76,215.57,212.83,213.50,3646300,778485050.00,0
1654608600000,2022-06-07,V,211.12,214.97,210.72,214.50,4493300,963812850.00,0
1654522200000,2022-06-06,V,215.45,217.58,212.09,212.94,3965100,844328403.68,0
1654263000000,2022-06-03,V,212.95,214.21,211.27,212.65,4352500,925559098.43,0
1654176600000,2022-06-02,V,211.89,215.25,211.08,215.05,5337200,1147764876.29,0
1654090200000,2022-06-01,V,212.05,214.11,208.82,209.93,5246100,1101313734.58,0
1654003800000,2022-05-31,V,210.38,214.35,209.11,212.17,9586400,2033946470.45,0
1653658200000,2022-05-27,V,210.00,213.23,209.64,212.88,4897200,1042515959.91,0
1653571800000,2022-05-26,V,205.11,209.74,204.67,208.55,9212300,1921225193.11,0
1653485400000,2022-05-25,V,200.59,204.95,200.47,203.84,5457200,1112395628.02,0
1653399000000,2022-05-24,V,203.91,204.67,199.03,202.63,7458500,1511315891.42,0
1653312600000,2022-05-23,V,200.88,207.96,200.77,207.56,12187400,2529616714.25,0
1653053400000,2022-05-20,V,199.67,201.66,194.02,199.03,6966600,1386562389.50,0
1652967000000,2022-05-19,V,196.35,200.42,193.31,197.37,9012400,1778777343.99,0
1652880600000,2022-05-18,V,202.82,205.46,199.13,199.99,8748200,1749552566.06,0
1652794200000,2022-05-17,V,202.85,204.80,200.15,204.00,7265600,1482182400.00,0
1652707800000,2022-05-16,V,197.32,199.94,195.88,197.81,5161300,1020956740.40,0
1652448600000,2022-05-13,V,197.00,200.54,196.50,199.23,6684500,1331752906.44,0
1652362200000,2022-05-12,V,194.53,196.06,189.95,193.97,9308600,1805589153.36,0
1652275800000,2022-05-11,V,193.49,198.32,191.40,196.72,9427300,1854538467.51,0
1652189400000,2022-05-10,V,196.71,197.75,190.97,193.58,11016500,2132574090.17,0
1652103000000,2022-05-09,V,200.05,200.75,192.08,193.00,10314100,1990621300.00,0
1651843800000,2022-05-06,V,203.75,205.72,200.22,202.82,8825300,1789947410.64,0
1651757400000,2022-05-05,V,212.27,214.58,203.07,205.24,7749600,1590527946.57,0
1651671000000,2022-05-04,V,209.35,214.80,205.33,214.52,7191100,1542634802.72,0
1651584600000,2022-05-03,V,213.61,213.61,206.27,208.56,6616900,1380020647.85,0
1651498200000,2022-05-02,V,211.77,212.14,206.96,211.53,8803700,1862246650.25,0
1651239000000,2022-04-29,V,218.62,221.20,212.35,213.13,7965000,1697580488.89,0
1651152600000,2022-04-28,V,220.40,224.93,219.27,220.66,10799100,2382929445.55,0
1651066200000,2022-04-27,V,217.37,221.80,213.05,214.11,15955800,3416296347.74,0
1650979800000,2022-04-26,V,206.98,208.56,201.10,201.10,8155300,1640030879.78,0
1650893400000,2022-04-25,V,206.35,210.53,205.33,209.95,6839400,1435932009.13,0
1650634200000,2022-04-22,V,216.24,216.56,207.95,208.17,6201100,1290882975.65,0
1650547800000,2022-04-21,V,219.51,223.92,215.35,216.45,8850300,1915647407.99,0
1650461400000,2022-04-20,V,218.66,220.82,217.39,217.79,7178300,1563361908.81,0
1650375000000,2022-04-19,V,213.10,216.51,212.44,215.70,5028800,1084712144.65,0
1650288600000,2022-04-18,V,211.67,215.83,211.52,213.17,4744400,1011363739.31,0
1649943000000,2022-04-14,V,214.27,215.95,212.53,212.79,8191600,1743090509.00,0
1649856600000,2022-04-13,V,210.43,213.85,207.17,213.27,8052900,1717442017.41,0
1649770200000,2022-04-12,V,216.50,216.99,210.70,211.40,7446600,1574211194.55,0
1649683800000,2022-04-11,V,215.25,217.30,213.41,214.75,6942700,1490944825.00,0
1649424600000,2022-04-08,V,214.81,219.41,213.08,216.98,5438600,1180067404.76,0
1649338200000,2022-04-07,V,218.31,218.68,213.68,216.15,6995100,1511990822.31,0
1649251800000,2022-04-06,V,222.78,222.87,218.62,219.01,7430000,1627244259.19,0
1649165400000,2022-04-05,V,226.83,228.99,225.31,226.09,4658000,1053127202.94,0
