https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume AAPL,Volume USDT,tradecount
1729171800000,2024-10-17,AAPL,233.43,233.85,230.52,232.15,32993800,7659510468.62,0
1729085400000,2024-10-16,AAPL,231.60,232.12,229.84,231.78,34082200,7899572274.40,0
1728999000000,2024-10-15,AAPL,233.61,237.49,232.37,233.85,64751400,15142115285.21,0
1728912600000,2024-10-14,AAPL,228.70,231.73,228.60,231.30,39882100,9224729851.71,0
1728653400000,2024-10-11,AAPL,229.30,229.41,227.34,227.55,31759200,7226806056.92,0
1728567000000,2024-10-10,AAPL,227.78,229.50,227.17,229.04,28183500,6455148650.78,0
1728480600000,2024-10-09,AAPL,225.23,229.75,224.83,229.54,33591100,7710500868.47,0
1728394200000,2024-10-08,AAPL,224.30,225.98,223.25,225.77,31855700,7192061525.10,0
1728307800000,2024-10-07,AAPL,224.50,225.69,221.33,221.69,39505400,8757952222.45,0
1728048600000,2024-10-04,AAPL,227.90,228.00,224.13,226.80,37245100,8447188793.66,0
1727962200000,2024-10-03,AAPL,225.14,226.81,223.32,225.67,34044200,7682754551.66,0
1727875800000,2024-10-02,AAPL,225.89,227.37,223.02,226.78,32880600,7456662427.86,0
1727789400000,2024-10-01,AAPL,229.52,229.65,223.74,226.21,63285000,14315700274.89,0
1727703000000,2024-09-30,AAPL,230.04,233.00,229.65,233.00,54541900,12708262700.00,0
1727443800000,2024-09-27,AAPL,228.46,229.52,227.30,227.79,34026000,7750782311.55,0
1727357400000,2024-09-26,AAPL,227.30,228.50,225.41,227.52,36636700,8335582140.53,0
1727271000000,2024-09-25,AAPL,224.93,227.29,224.02,226.37,42308700,9577420212.41,0
1727184600000,2024-09-24,AAPL,228.65,229.35,225.73,227.37,43556100,9903350244.32,0
1727098200000,2024-09-23,AAPL,227.34,229.45,225.81,226.47,54146000,12262444686.10,0
1726839000000,2024-09-20,AAPL,229.97,233.09,227.62,228.20,318679900,72722752207.47,0
1726752600000,2024-09-19,AAPL,224.99,229.82,224.63,228.87,66781300,15284235804.92,0
1726666200000,2024-09-18,AAPL,217.55,222.71,217.54,220.69,59894900,13218205627.23,0
1726579800000,2024-09-17,AAPL,215.75,216.90,214.50,216.79,45519300,9868128741.39,0
1726493400000,2024-09-16,AAPL,216.54,217.22,213.92,216.32,59357400,12840193202.75,0
1726234200000,2024-09-13,AAPL,223.58,224.04,221.91,222.50,36766600,8180568500.00,0
1726147800000,2024-09-12,AAPL,222.50,223.55,219.82,222.77,37455600,8343984172.03,0
1726061400000,2024-09-11,AAPL,221.46,223.09,217.89,222.66,44587100,9927763849.28,0
1725975000000,2024-09-10,AAPL,218.92,221.48,216.73,220.11,51591000,11355695041.49,0
1725888600000,2024-09-09,AAPL,220.82,221.27,216.71,220.91,67180000,14840734046.02,0
1725629400000,2024-09-06,AAPL,223.95,225.24,219.77,220.82,48423000,10692767214.66,0
1725543000000,2024-09-05,AAPL,221.63,225.48,221.52,222.38,36615400,8142532830.79,0
1725456600000,2024-09-04,AAPL,221.66,221.78,217.48,220.85,43840200,9682108437.58,0
1725370200000,2024-09-03,AAPL,228.55,229.00,221.17,222.77,50190600,11180960176.44,0
1725024600000,2024-08-30,AAPL,230.19,230.40,227.48,229.00,52990800,12134893200.00,0
1724938200000,2024-08-29,AAPL,230.10,232.92,228.88,229.79,51906300,11927548328.51,0
1724851800000,2024-08-28,AAPL,227.92,229.86,225.68,226.49,38052200,8618442987.03,0
1724765400000,2024-08-27,AAPL,226.00,228.85,224.89,228.03,35934600,8194166794.13,0
1724679000000,2024-08-26,AAPL,226.76,227.28,223.89,227.18,30602200,6952207571.86,0
1724419800000,2024-08-23,AAPL,225.66,228.22,224.33,226.84,38677300,8773558590.36,0
1724333400000,2024-08-22,AAPL,227.79,228.34,223.90,224.53,43695300,9810905655.66,0
1724247000000,2024-08-21,AAPL,226.52,227.98,225.05,226.40,34765500,7870908987.81,0
1724160600000,2024-08-20,AAPL,225.77,227.17,225.45,226.51,30299000,6863026323.56,0
1724074200000,2024-08-19,AAPL,225.72,225.99,223.04,225.89,40687800,9190967117.17,0
1723815000000,2024-08-16,AAPL,223.92,226.83,223.65,226.05,44340200,10023102345.32,0
1723728600000,2024-08-15,AAPL,224.60,225.35,222.76,224.72,46414000,10430154136.66,0
1723642200000,2024-08-14,AAPL,220.57,223.03,219.70,221.72,41960600,9303504283.22,0
1723555800000,2024-08-13,AAPL,219.01,221.89,219.01,221.27,44155300,9770243419.65,0
1723469400000,2024-08-12,AAPL,216.07,219.51,215.60,217.53,38028100,8272252546.58,0
1723210200000,2024-08-09,AAPL,212.10,216.78,211.97,216.24,42201600,9125674215.82,0
1723123800000,2024-08-08,AAPL,213.11,214.20,208.83,213.31,47161100,10059934125.86,0
1723037400000,2024-08-07,AAPL,206.90,213.64,206.39,209.82,63516400,13327011513.21,0
1722951000000,2024-08-06,AAPL,205.30,209.99,201.07,207.23,69660500,14435745117.38,0
1722864600000,2024-08-05,AAPL,199.09,213.50,196.00,209.27,119548600,25017936032.77,0
1722605400000,2024-08-02,AAPL,219.15,225.60,217.71,219.86,105568600,23210312460.43,0
1722519000000,2024-08-01,AAPL,224.37,224.48,217.02,218.36,62501000,13647718398.15,0
1722432600000,2024-07-31,AAPL,221.44,223.82,220.63,222.08,50036300,11112061595.62,0
1722346200000,2024-07-30,AAPL,219.19,220.33,216.12,218.80,41643800,9111663567.09,0
1722259800000,2024-07-29,AAPL,216.96,219.30,215.75,218.24,36311800,7924687431.47,0
1722000600000,2024-07-26,AAPL,218.70,219.49,216.01,217.96,41601300,9067419627.31,0
1721914200000,2024-07-25,AAPL,218.93,220.85,214.62,217.49,51391200,11177072370.30,0
1721827800000,2024-07-24,AAPL,224.00,224.80,217.13,218.54,61777600,13500876289.23,0
1721741400000,2024-07-23,AAPL,224.37,226.94,222.68,225.01,39960300,8991466883.49,0
1721655000000,2024-07-22,AAPL,227.01,227.78,223.09,223.96,48201800,10795275451.62,0
1721395800000,2024-07-19,AAPL,224.82,226.80,223.28,224.31,49151500,11025172845.00,0
1721309400000,2024-07-18,AAPL,230.28,230.44,222.27,224.18,66034600,14803636144.35,0
1721223000000,2024-07-17,AAPL,229.45,231.46,226.64,228.88,57345900,13125329872.01,0
1721136600000,2024-07-16,AAPL,235.00,236.27,232.33,234.82,43234300,10152278642.66,0
1721050200000,2024-07-15,AAPL,236.48,237.23,233.09,234.40,62631300,14680776337.73,0
1720791000000,2024-07-12,AAPL,228.92,232.64,228.68,230.54,53046500,12229339753.85,0
1720704600000,2024-07-11,AAPL,231.39,232.39,225.77,227.57,64710600,14726191715.95,0
1720618200000,2024-07-10,AAPL,229.30,233.08,229.25,232.98,62627700,14591001278.43,0
1720531800000,2024-07-09,AAPL,227.93,229.40,226.37,228.68,48076100,10994042195.88,0
1720445400000,2024-07-08,AAPL,227.09,227.85,223.25,227.82,59085900,13460950170.76,0
1720186200000,2024-07-05,AAPL,221.65,226.45,221.65,226.34,60412400,13673742394.76,0
1720013400000,2024-07-03,AAPL,220.00,221.55,219.03,221.55,37369800,8279279304.04,0
1719927000000,2024-07-02,AAPL,216.15,220.38,215.10,220.27,58046200,12785836722.00,0
1719840600000,2024-07-01,AAPL,212.09,217.51,211.92,216.75,60402900,13092328575.00,0
1719581400000,2024-06-28,AAPL,215.77,216.07,210.30,210.62,82542700,17385143070.96,0
1719495000000,2024-06-27,AAPL,214.69,215.74,212.35,214.10,49772700,10656335373.79,0
1719408600000,2024-06-26,AAPL,211.50,214.86,210.64,213.25,66213200,14119964900.00,0
1719322200000,2024-06-25,AAPL,209.15,211.38,208.61,209.07,55549700,11613776185.86,0
1719235800000,2024-06-24,AAPL,207.72,212.70,206.59,208.14,80727000,16802517730.73,0
1718976600000,2024-06-21,AAPL,210.39,211.89,207.11,207.49,241805100,50172141527.28,0
1718890200000,2024-06-20,AAPL,213.93,214.24,208.85,209.68,86172500,18068649168.85,0
1718717400000,2024-06-18,AAPL,217.59,218.63,213.00,214.29,79943300,17131049220.27,0
1718631000000,2024-06-17,AAPL,213.37,218.95,212.72,216.67,93728300,20308110589.38,0
1718371800000,2024-06-14,AAPL,213.85,215.17,211.30,212.49,70122700,14900372908.20,0
1718285400000,2024-06-13,AAPL,214.74,216.75,211.60,214.24,97862700,20966105385.58,0
1718199000000,2024-06-12,AAPL,207.37,220.20,206.90,213.07,198134300,42216476752.18,0
1718112600000,2024-06-11,AAPL,193.65,207.16,193.63,207.15,172373300,35707128042.92,0
1718026200000,2024-06-10,AAPL,196.90,197.30,192.15,193.12,97010200,18734609350.32,0
1717767000000,2024-06-07,AAPL,194.65,196.94,194.14,196.89,53103900,10455626838.59,0
1717680600000,2024-06-06,AAPL,195.69,196.50,194.17,194.48,41181800,8009036288.05,0
1717594200000,2024-06-05,AAPL,195.40,196.90,194.87,195.87,54156800,10607692151.56,0
1717507800000,2024-06-04,AAPL,194.64,195.32,193.03,194.35,47471400,9226066879.74,0
1717421400000,2024-06-03,AAPL,192.90,194.99,192.52,194.03,50080500,9717119353.87,0
1717162200000,2024-05-31,AAPL,191.44,192.57,189.91,192.25,75158300,14449183175.00,0
1717075800000,2024-05-30,AAPL,190.76,192.18,190.63,191.29,49889100,9543285604.05,0
1716989400000,2024-05-29,AAPL,189.61,192.25,189.51,190.29,53068000,10098309363.71,0
1716903000000,2024-05-28,AAPL,191.51,193.00,189.10,189.99,52280100,9932696486.18,0
1716557400000,2024-05-24,AAPL,188.82,190.58,188.04,189.98,36327000,6901403304.79,0
1716471000000,2024-05-23,AAPL,190.98,191.00,186.63,186.88,51005900,9531982841.05,0
1716384600000,2024-05-22,AAPL,192.27,192.82,190.27,190.90,34648500,6614398438.52,0
1716298200000,2024-05-21,AAPL,191.09,192.73,190.92,192.35,42309400,8138213348.24,0
1716211800000,2024-05-20,AAPL,189.33,191.92,189.01,191.04,44361300,8474782454.16,0
1715952600000,2024-05-17,AAPL,189.51,190.81,189.18,189.87,41282900,7838384021.42,0
1715866200000,2024-05-16,AAPL,190.47,191.10,189.66,189.84,52845200,10032132574.48,0
1715779800000,2024-05-15,AAPL,187.91,190.65,187.37,189.72,70400000,13356288085.94,0
1715693400000,2024-05-14,AAPL,187.51,188.30,186.29,187.43,52393600,9820132064.26,0
1715607000000,2024-05-13,AAPL,185.44,187.10,184.62,186.28,72044800,13420505256.05,0
1715347800000,2024-05-10,AAPL,184.90,185.09,182.13,183.05,50759500,9291526629.91,0
1715261400000,2024-05-09,AAPL,182.56,184.66,182.11,184.57,48983000,9040792668.76,0
1715175000000,2024-05-08,AAPL,182.85,183.07,181.45,182.74,45057100,8233734701.51,0
1715088600000,2024-05-07,AAPL,183.45,184.90,181.32,182.40,77305800,14100577448.16,0
1715002200000,2024-05-06,AAPL,182.35,184.20,180.42,181.71,78569700,14276900714.51,0
1714743000000,2024-05-03,AAPL,186.65,187.00,182.66,183.38,163224100,29932036254.99,0
1714656600000,2024-05-02,AAPL,172.51,173.42,170.89,173.03,94214900,16302004031.99,0
1714570200000,2024-05-01,AAPL,169.58,172.71,169.11,169.30,50383100,8529858983.76,0
1714483800000,2024-04-30,AAPL,173.33,174.99,170.00,170.33,65934800,11230674604.73,0
1714397400000,2024-04-29,AAPL,173.37,176.03,173.10,173.50,68169400,11827390900.00,0
1714138200000,2024-04-26,AAPL,169.88,171.34,169.18,169.30,44838400,7591141256.84,0
1714051800000,2024-04-25,AAPL,169.53,170.61,168.15,169.89,50558300,8589349556.14,0
1713965400000,2024-04-24,AAPL,166.54,169.30,166.21,169.02,48251800,8155519442.15,0
1713879000000,2024-04-23,AAPL,165.35,167.05,164.92,166.90,49537800,8267858517.65,0
1713792600000,2024-04-22,AAPL,165.52,167.26,164.77,165.84,48116400,7979623599.79,0
1713533400000,2024-04-19,AAPL,166.21,166.40,164.08,165.00,68149400,11244651000.00,0
1713447000000,2024-04-18,AAPL,168.03,168.64,166.55,167.04,43122900,7203248926.48,0
1713360600000,2024-04-17,AAPL,169.61,170.65,168.00,168.00,50901200,8551401600.00,0
1713274200000,2024-04-16,AAPL,171.75,173.76,168.27,169.38,73711200,12485203415.92,0
1713187800000,2024-04-15,AAPL,175.36,176.63,172.50,172.69,73531800,12698206721.52,0
1712928600000,2024-04-12,AAPL,174.26,178.36,174.21,176.55,101670900,17949997705.27,0
1712842200000,2024-04-11,AAPL,168.34,175.46,168.16,175.04,91070300,15940944700.57,0
1712755800000,2024-04-10,AAPL,168.80,169.09,167.11,167.78,49709300,8340226293.32,0
1712669400000,2024-04-09,AAPL,168.70,170.08,168.35,169.67,42373800,7189562568.41,0
