https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume COIN,Volume USDT,tradecount
1738679400000,2025-02-04,COIN,283.00,289.39,278.63,280.39,6013500,1686125353.09,0
1738593000000,2025-02-03,COIN,272.98,288.76,269.30,284.41,9517700,2706929091.85,0
1738333800000,2025-01-31,COIN,300.86,304.73,287.22,291.33,6514500,1897869197.53,0
1738247400000,2025-01-30,COIN,293.71,306.00,293.02,301.30,8637500,2602478644.56,0
1738161000000,2025-01-29,COIN,281.82,294.38,277.01,291.00,6255900,1820466900.00,0
1738074600000,2025-01-28,COIN,280.50,284.84,276.00,281.82,4516600,1272868245.08,0
1737988200000,2025-01-27,COIN,283.70,289.78,265.20,277.99,12238800,3402263892.48,0
1737729000000,2025-01-24,COIN,300.00,310.61,297.62,298.00,9763300,2909463400.00,0
1737642600000,2025-01-23,COIN,289.74,303.56,287.90,296.01,11534800,3414416260.64,0
1737556200000,2025-01-22,COIN,290.46,298.80,286.28,295.85,6668900,1972994105.70,0
1737469800000,2025-01-21,COIN,298.52,303.10,273.62,294.19,12912400,3798698987.52,0
1737124200000,2025-01-17,COIN,292.00,300.35,289.33,295.48,11290100,3335998872.04,0
1737037800000,2025-01-16,COIN,274.00,285.02,268.14,281.63,6751100,1901312325.96,0
1736951400000,2025-01-15,COIN,266.87,278.32,264.44,274.93,9113900,2505684460.25,0
1736865000000,2025-01-14,COIN,261.73,263.00,251.00,255.37,5704100,1456655989.15,0
1736778600000,2025-01-13,COIN,246.98,251.81,240.77,251.20,7019500,1763298378.58,0
1736519400000,2025-01-10,COIN,257.77,261.87,248.05,258.78,5579200,1443785369.19,0
1736346600000,2025-01-08,COIN,263.88,267.00,252.99,260.01,5951100,1547345569.12,0
1736260200000,2025-01-07,COIN,286.74,287.58,260.24,264.33,11614700,3070113495.04,0
1736173800000,2025-01-06,COIN,279.07,293.60,271.75,287.76,10835000,3117879705.81,0
1735914600000,2025-01-03,COIN,259.89,271.59,258.59,270.65,5990800,1621409983.44,0
1735828200000,2025-01-02,COIN,256.48,262.31,251.00,257.21,6289500,1617722241.26,0
1735655400000,2024-12-31,COIN,262.97,263.66,246.37,248.30,5414900,1344519686.52,0
1735569000000,2024-12-30,COIN,259.98,260.50,247.60,255.56,7727100,1974737657.14,0
1735309800000,2024-12-27,COIN,274.20,274.25,263.21,265.71,5554000,1475753292.54,0
1735223400000,2024-12-26,COIN,275.58,279.24,271.39,274.41,4410400,1210257880.15,0
1735050600000,2024-12-24,COIN,273.22,284.00,271.86,279.62,4805100,1343602038.54,0
1734964200000,2024-12-23,COIN,274.52,275.33,263.07,268.15,6853500,1837765983.17,0
1734705000000,2024-12-20,COIN,266.13,281.74,261.87,278.71,10009800,2789831272.47,0
1734618600000,2024-12-19,COIN,290.64,295.48,268.88,273.92,11708600,3207219869.22,0
1734532200000,2024-12-18,COIN,308.00,312.14,275.81,279.86,12615200,3530489687.21,0
1734445800000,2024-12-17,COIN,319.83,323.07,303.50,311.64,7440600,2318788692.99,0
1734359400000,2024-12-16,COIN,316.90,326.23,314.77,315.31,11461400,3613894006.02,0
1734100200000,2024-12-13,COIN,316.00,317.18,305.25,310.58,5832600,1811488829.68,0
1734013800000,2024-12-12,COIN,317.76,323.50,307.75,312.96,8324400,2605204152.87,0
1733927400000,2024-12-11,COIN,311.85,320.90,308.82,313.81,10253400,3217619428.97,0
1733841000000,2024-12-10,COIN,318.03,318.74,298.52,302.42,11930600,3608052212.20,0
1733754600000,2024-12-09,COIN,339.91,340.16,309.68,310.52,16974800,5271014709.51,0
1733495400000,2024-12-06,COIN,328.56,349.75,325.50,343.62,16759200,5758796222.17,0
1733409000000,2024-12-05,COIN,343.36,349.49,315.17,320.57,19769900,6337636987.80,0
1733322600000,2024-12-04,COIN,312.00,332.00,309.12,330.94,15798000,5228190158.57,0
1733236200000,2024-12-03,COIN,296.78,314.43,296.65,309.35,10069300,3114938016.46,0
1733149800000,2024-12-02,COIN,302.03,311.47,299.50,302.40,11221100,3393260571.51,0
1732890600000,2024-11-29,COIN,311.95,316.30,295.81,296.20,9550200,2828769356.58,0
1732717800000,2024-11-27,COIN,302.78,314.29,295.36,310.98,13290800,4133173130.02,0
1732631400000,2024-11-26,COIN,298.26,309.20,289.13,293.29,13215700,3876032765.93,0
1732545000000,2024-11-25,COIN,309.00,317.46,291.20,312.22,14645900,4572742915.88,0
1732285800000,2024-11-22,COIN,294.89,311.37,290.80,304.64,12187200,3712708786.52,0
1732199400000,2024-11-21,COIN,329.95,330.50,288.55,295.23,25187400,7436076378.72,0
1732113000000,2024-11-20,COIN,332.25,341.75,303.80,320.01,22875200,7320292975.39,0
1732026600000,2024-11-19,COIN,322.08,327.24,315.50,324.57,13447900,4364785001.50,0
1731940200000,2024-11-18,COIN,301.83,329.59,288.50,325.41,25607400,8332904127.78,0
1731681000000,2024-11-15,COIN,282.51,306.46,276.02,305.85,18020600,5511600619.99,0
1731594600000,2024-11-14,COIN,290.81,292.57,274.30,278.84,17375300,4844928588.37,0
1731508200000,2024-11-13,COIN,325.01,332.35,282.66,284.72,27997400,7971419762.18,0
1731421800000,2024-11-12,COIN,310.05,327.00,306.10,319.13,24819600,7920679069.19,0
1731335400000,2024-11-11,COIN,300.31,334.86,296.00,324.24,42437500,13759934585.57,0
1731076200000,2024-11-08,COIN,257.67,273.50,257.15,270.74,17431700,4719458287.77,0
1730989800000,2024-11-07,COIN,245.63,259.69,242.34,255.58,16655300,4256761604.50,0
1730903400000,2024-11-06,COIN,221.48,257.68,221.11,254.31,35456000,9016815273.44,0
1730817000000,2024-11-05,COIN,185.59,197.25,185.51,193.96,9950800,1930057234.81,0
1730730600000,2024-11-04,COIN,180.09,186.95,176.38,186.27,11348800,2113941024.49,0
1730467800000,2024-11-01,COIN,180.00,190.94,179.54,182.88,14443400,2641409062.52,0
1730381400000,2024-10-31,COIN,203.73,206.00,178.82,179.25,18892000,3386391000.00,0
1730295000000,2024-10-30,COIN,213.10,220.46,209.47,211.74,9515900,2014896718.27,0
1730208600000,2024-10-29,COIN,220.91,223.90,216.11,219.66,11542200,2535359694.27,0
1730122200000,2024-10-28,COIN,213.35,218.00,210.50,216.10,10458700,2260125133.83,0
1729863000000,2024-10-25,COIN,208.30,213.67,203.40,205.04,9261300,1898936889.82,0
1729776600000,2024-10-24,COIN,206.87,210.55,200.80,209.16,9925400,2075996700.35,0
1729690200000,2024-10-23,COIN,206.30,209.70,194.60,198.93,10350100,2058945317.19,0
1729603800000,2024-10-22,COIN,209.45,215.95,207.30,210.72,7485100,1577260281.14,0
1729517400000,2024-10-21,COIN,215.40,216.86,208.13,213.72,12686400,2711337423.49,0
1729258200000,2024-10-18,COIN,208.05,220.26,207.14,220.21,13569600,2988161707.10,0
1729171800000,2024-10-17,COIN,209.20,209.45,201.13,204.20,8908000,1819013572.81,0
1729085400000,2024-10-16,COIN,203.53,212.42,197.60,210.48,13970000,2940405540.31,0
1728999000000,2024-10-15,COIN,195.68,204.90,188.31,196.34,17324800,3401551168.55,0
1728912600000,2024-10-14,COIN,181.19,197.69,178.27,196.35,18131400,3560100500.67,0
1728653400000,2024-10-11,COIN,165.54,179.18,165.22,176.38,10767100,1899101150.57,0
1728567000000,2024-10-10,COIN,166.05,167.31,161.87,164.27,5379900,883756195.99,0
1728480600000,2024-10-09,COIN,167.69,172.49,165.78,166.97,5725000,955903256.99,0
1728394200000,2024-10-08,COIN,166.36,170.05,165.02,167.69,5696100,955179022.91,0
1728307800000,2024-10-07,COIN,172.00,176.15,166.89,168.92,6797500,1148233687.55,0
1728048600000,2024-10-04,COIN,167.96,171.24,164.00,170.91,6852400,1171143709.09,0
1727962200000,2024-10-03,COIN,162.83,166.41,161.41,163.10,4298600,701101686.24,0
1727875800000,2024-10-02,COIN,163.03,169.29,161.39,164.47,7881100,1296204526.62,0
1727789400000,2024-10-01,COIN,178.72,178.90,160.00,165.01,15210500,2509884521.45,0
1727703000000,2024-09-30,COIN,184.19,185.41,177.00,178.17,11710000,2086370678.56,0
1727443800000,2024-09-27,COIN,183.07,192.45,179.50,191.23,10563400,2020038936.87,0
1727357400000,2024-09-26,COIN,170.61,181.49,170.26,179.93,12455200,2241064044.78,0
1727271000000,2024-09-25,COIN,170.30,173.94,166.88,167.08,5359900,895532101.81,0
1727184600000,2024-09-24,COIN,170.38,172.25,163.81,171.68,6035500,1036174595.79,0
1727098200000,2024-09-23,COIN,171.30,173.57,168.70,170.22,4933200,839729310.02,0
