https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume TSLA,Volume USDT,tradecount
1756387800000,2025-08-28,TSLA,350.91,353.55,340.26,345.98,67903200,23493149882.01,0
1756301400000,2025-08-27,TSLA,351.94,355.39,349.16,349.60,65519000,22905442799.90,0
1756215000000,2025-08-26,TSLA,344.93,351.90,343.72,351.67,76651600,26956069201.26,0
1756128600000,2025-08-25,TSLA,338.90,349.53,335.03,346.60,86670000,30039822528.99,0
1755869400000,2025-08-22,TSLA,321.66,340.25,319.69,340.01,94016300,31966483081.13,0
1755783000000,2025-08-21,TSLA,322.08,324.90,318.68,320.11,55744400,17844339067.43,0
1755696600000,2025-08-20,TSLA,329.22,331.37,314.60,323.90,77481800,25096354547.09,0
1755610200000,2025-08-19,TSLA,335.79,340.55,327.85,329.31,75956000,25013070174.56,0
1755523800000,2025-08-18,TSLA,329.62,336.27,329.59,335.16,56956600,19089574264.58,0
1755264600000,2025-08-15,TSLA,337.66,339.30,327.02,330.56,74319800,24567152906.56,0
1755178200000,2025-08-14,TSLA,335.76,340.47,330.40,335.58,75000700,25168733898.91,0
1755091800000,2025-08-13,TSLA,341.50,348.98,338.20,339.38,67838900,23023166213.24,0
1755005400000,2025-08-12,TSLA,345.00,345.26,332.94,340.84,80522100,27445152269.12,0
1754919000000,2025-08-11,TSLA,335.00,346.64,334.15,339.03,105320200,35706707277.44,0
1754659800000,2025-08-08,TSLA,321.43,335.15,320.98,329.65,91200300,30064178338.36,0
1754573400000,2025-08-07,TSLA,319.79,322.40,316.16,322.27,66658700,21482098516.67,0
1754487000000,2025-08-06,TSLA,307.89,320.47,306.93,319.91,78523600,25120485163.56,0
1754400600000,2025-08-05,TSLA,308.95,312.45,305.50,308.72,57961300,17893812606.75,0
1754314200000,2025-08-04,TSLA,309.08,312.12,303.00,309.26,78683900,24333783682.40,0
1754055000000,2025-08-01,TSLA,306.21,309.31,297.82,302.63,89121400,26970809717.16,0
1753968600000,2025-07-31,TSLA,319.61,321.37,306.10,308.27,85270900,26286459406.19,0
1753882200000,2025-07-30,TSLA,322.18,324.45,311.62,319.04,83931900,26777634093.19,0
