https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume MSFT,Volume USDT,tradecount
1755869400000,2025-08-22,MSFT,504.25,510.73,502.41,507.23,24324200,12337964233.23,0
1755783000000,2025-08-21,MSFT,503.69,507.63,502.72,504.24,18443300,9299849411.89,0
1755696600000,2025-08-20,MSFT,509.87,511.00,504.44,505.72,27723000,14020075593.84,0
1755610200000,2025-08-19,MSFT,515.00,515.16,508.55,509.77,21481000,10950369134.00,0
1755523800000,2025-08-18,MSFT,521.59,522.82,514.02,517.10,23760600,12286605679.91,0
1755264600000,2025-08-15,MSFT,522.77,526.10,519.08,520.17,25213300,13115201830.11,0
1755178200000,2025-08-14,MSFT,522.56,525.95,520.14,522.48,20269100,10590198972.12,0
1755091800000,2025-08-13,MSFT,532.11,532.70,519.37,520.58,19619200,10213363471.29,0
1755005400000,2025-08-12,MSFT,523.75,530.98,522.70,529.24,18667000,9879322897.71,0
1754919000000,2025-08-11,MSFT,522.30,527.59,519.72,521.77,20194400,10536832482.42,0
1754659800000,2025-08-08,MSFT,522.60,524.66,519.41,522.04,15531000,8107802898.74,0
1754573400000,2025-08-07,MSFT,526.80,528.09,517.55,520.84,16079100,8374638875.81,0
1754487000000,2025-08-06,MSFT,530.90,531.70,524.03,524.94,21355700,11210461210.14,0
1754400600000,2025-08-05,MSFT,537.18,537.30,527.24,527.75,19171600,10117811900.00,0
1754314200000,2025-08-04,MSFT,528.27,538.25,528.13,535.64,25349000,13577938731.32,0
1754055000000,2025-08-01,MSFT,535.00,535.80,520.86,524.11,28977600,15187449511.52,0
1753968600000,2025-07-31,MSFT,555.23,555.45,531.90,533.50,51617300,27537829550.00,0
1753882200000,2025-07-30,MSFT,515.17,515.95,509.44,513.24,26380400,13539476238.38,0
1753795800000,2025-07-29,MSFT,515.53,517.62,511.56,512.57,16469200,8441617964.62,0
1753709400000,2025-07-28,MSFT,514.08,515.00,510.12,512.50,14308000,7332850000.00,0
